94 'til Infinity: Year 2010,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Your Love,3bGxiCPouq52ZtI8ybMCX5,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Pink Friday (Deluxe),51HDsvvActcDmYy7NQl6oL,56,not available
11,Check It Out,2nS4rjKHSpMfsdVxzViE5W,will.i.am,085pc2PYOi8bGKj0PNjekA,Pink Friday (Deluxe Edition),3N9kar9VT6yLh3cqPEwlbS,42,not available
12,Right Thru Me,180jaPAbXwB4nvtieXteYf,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Pink Friday (Deluxe),51HDsvvActcDmYy7NQl6oL,52,not available
13,Moment 4 Life,0ConttVd0Ebk3dLNquOmh0,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Pink Friday (Deluxe),51HDsvvActcDmYy7NQl6oL,63,not available
14,Super Bass,0iYebKFUSfF72fUu2OW6ZT,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Pink Friday (Deluxe),51HDsvvActcDmYy7NQl6oL,71,not available
15,You Be Killin Em,5I6YA7oHtraxwWQzzCugDt,Fabolous,0YWxKQj2Go9CGHCp77UOyy,There Is No Competition 2: The Grieving Music Mixtape,3BBRkEHu6nmOVs7juIJ1KN,56,not available
16,Body Bag Remix,7lOXuAbhpvZArPYRFGENuj,Fabolous,0YWxKQj2Go9CGHCp77UOyy,There Is No Competition 2: The Grieving Music Mixtape,3BBRkEHu6nmOVs7juIJ1KN,26,not available
17,Body Ya,3gDLZxEPjWIbPDNHnEBB5P,Fabolous,0YWxKQj2Go9CGHCp77UOyy,There Is No Competition 2: The Grieving Music Mixtape,3BBRkEHu6nmOVs7juIJ1KN,45,not available
18,Strangers (Paranoid) (feat. Bun B),4eG2adivtXy2Eh4tjBUQyo,Talib Kweli,0lEssBAxQl2In4RpaB1C2Y,Revolutions Per Minute,3uwRp5ehO2wWRBKcpjjQdR,22,https://p.scdn.co/mp3-preview/1cb6a0641dda4d011a913a59d48f839e27c35f5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Got Work,5TPVfz07eYhvcelUyXyQXX,Talib Kweli,0lEssBAxQl2In4RpaB1C2Y,Revolutions Per Minute,3uwRp5ehO2wWRBKcpjjQdR,20,https://p.scdn.co/mp3-preview/ee70d19826ace83bfc3a596103cd4599fdfd361b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,My Life (Outro),0NBJHH61eAmLgPP8BYgnPg,Talib Kweli,0lEssBAxQl2In4RpaB1C2Y,Revolutions Per Minute,3uwRp5ehO2wWRBKcpjjQdR,20,https://p.scdn.co/mp3-preview/daac09893975a4cddf734acf5c5789884486dcf6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,"All I Do Is Win - Feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross",0RIHDrcRAXtUlnkvTYPW1a,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,"All I Do Is Win (Feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",3Z0AjyYRhz6uqasC49gt7w,64,https://p.scdn.co/mp3-preview/6f836c20fea27576840dd30651d42b768ce2f4ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Put Your Hands Up,36A5zvTtphEAEXfA3aTtO1,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,Victory,5NGFuUQ1SYIUTy10IhA0Ny,30,https://p.scdn.co/mp3-preview/88843476c9fb98a02993af3bcc6ded06722f7531?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Hey Daddy (Daddy's Home),030OCtLMrljNhp8OWHBWW3,Usher,23zg3TcAtWQy7J6upgbUnj,Raymond v Raymond (Expanded Edition),6A1F3Fkq5dYeYYNkXflcTX,61,https://p.scdn.co/mp3-preview/0652f30bea2bf56e36465bdfaa00018000b3431c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,OMG (feat. will.i.am),1bM50INir8voAkVoKuvEUI,Usher,23zg3TcAtWQy7J6upgbUnj,Raymond v Raymond (Expanded Edition),6A1F3Fkq5dYeYYNkXflcTX,71,https://p.scdn.co/mp3-preview/234ee33a94a9570edb638638576bc0015ce797e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Papers,77fP7UixHMYEIFT8NS92Ul,Usher,23zg3TcAtWQy7J6upgbUnj,Raymond v Raymond (Expanded Edition),6A1F3Fkq5dYeYYNkXflcTX,48,https://p.scdn.co/mp3-preview/cb6f52ea927c2f5f36eb89f8256e8452fd5ed3e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Wasted (feat. Plies),11hQvcLydGTyXS3Wo6AkmW,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,The State vs. Radric Davis (Deluxe),0VeraxKSlJGusnOHYGOtWq,53,https://p.scdn.co/mp3-preview/6b0243bae9dd428f92aa0646f6ba29ba23d8f578?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Lemonade,6rUcS9i07F6okIe8wujs5J,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,The State vs. Radric Davis (Deluxe),0VeraxKSlJGusnOHYGOtWq,59,https://p.scdn.co/mp3-preview/659ba05a2bfc8da82010d72974d38e271842c829?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Heavy,1EZDmHcRQkMVEFRgHZr4L9,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,The State vs. Radric Davis (Deluxe),0VeraxKSlJGusnOHYGOtWq,36,https://p.scdn.co/mp3-preview/4f89ca7dd6f03046cdcc59fc59dae01b4d511029?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,"Kush Is My Cologne (feat. Bun B, Devin the Dude & E-40)",3Qll7186UkVC0C6l5vTQE6,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,The State vs. Radric Davis (Deluxe),0VeraxKSlJGusnOHYGOtWq,34,https://p.scdn.co/mp3-preview/b8a3a17e281d4befe744c9091070a20862be3275?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,"Stupid Wild (feat. Lil Wayne, Cam'Ron)",4YnckxyWidtuT4McPhX6bf,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,The State vs. Radric Davis (Deluxe),0VeraxKSlJGusnOHYGOtWq,31,https://p.scdn.co/mp3-preview/72c3f1ed3ea89af470b07bdb861df0509e17b2f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Worst Enemy,2eHZqd7R6j2lK5kPNjWaGZ,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,The State vs. Radric Davis (Deluxe),0VeraxKSlJGusnOHYGOtWq,29,https://p.scdn.co/mp3-preview/9e6b2e87f8dfb27290c9c7a2f9a773e993245a35?cid=fa83a2fec7c440b7a2795d600d6b2c7e
