Deutschpop Klassiker,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,Geboren um zu leben,1VU8t2MpJRLG5iFEIxqq7z,Unheilig,6f1kv0aUPG9I0Rp3dmLCPi,Grosse Freiheit,5s0uk5TWJnDWCIBtkdZ2ku,59,not available
22,So soll es bleiben - Single Edit,3S7XvA0CBXErmB1RYlQizH,Ich + Ich,3oCrmkKTKBi7DUgmtyGkId,Vom selben Stern,3N60Xk5cRWtXPC2El0KoLm,52,not available
23,Gib mir Sonne,56XFCaPdmR3ER232chOSxU,Rosenstolz,2nacZFQ7nlwSw4RpsZlbpP,Die Suche geht weiter (Special Version),4V88ZBw9ks3O7ljK3wc2aT,39,not available
24,Was soll das - Remastered 2016,1AN1GaGhfXfofnmonu7jYx,Herbert Grönemeyer,5tG5dl5mS2wB5w72YBpsyg,Ö (Remastered 2016),7JXayc3rAXyCblxM9chx4C,51,not available
25,Denkmal,58zHoX9U5VlSXLUUmWTfe2,Wir Sind Helden,3jiOHVFdVQjbSDVeC7RgY7,Die Reklamation,3q6f8bwF1ZWxTGvS0veYi3,57,not available
26,Stadt,6nE5RgNaFN5E5bpXeH2z9M,Cassandra Steen,6wbgb7phg82I4tnO6GWMhr,Darum leben wir,7GmoeJyc3TiJtqWcaEAnvS,60,not available
27,Willenlos,46vOwVfosQJ4bFdY1ryVnU,Westernhagen,6El2bDJ8PlTKVYyEPWxfAS,Affentheater,4xLlrSBcPPc0l0s0w2Dj3P,55,https://p.scdn.co/mp3-preview/bac38663c9f8221f8dc22d98564cb503f0823c50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Liebe ist alles,6EatiOQBv70o94sr2oTHLB,Rosenstolz,2nacZFQ7nlwSw4RpsZlbpP,Herz,4gwELuwP3oak0NW6Pvt00O,48,not available
29,"Musik nur, wenn sie laut ist - Remastered 2016",0TMPECnOfA2NZ03dVAdHik,Herbert Grönemeyer,5tG5dl5mS2wB5w72YBpsyg,Gemischte Gefühle (Remastered 2016),2wL5SnrrX0cwiyFnvrKoxA,53,not available
30,Bilder von Dir,23t7gG7rKSddYrU3zaMv0S,Laith Al-Deen,40Ei4l9b5mvGHXEuR0xeN3,Ich will nur wissen...,3fxiIZkq5A1OWNuKI6o2Uj,51,https://p.scdn.co/mp3-preview/68cff4ea2ec9df9b1f7e46c8b6acc2bb41aa493b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Nur ein Wort,4hYinIaRxdaoEFSQni6K6I,Wir Sind Helden,3jiOHVFdVQjbSDVeC7RgY7,Von Hier An Blind,4JG9iU4O51GLseXEWAkZkw,59,not available
32,Nur geträumt,4P9dqMYFWpGF9ozj59s4ML,Nena,6Tz0QRoe083BcOo2YbG9lV,The Essential Nena,1l3ZXgWaCVMquVKoSOeUkG,4,not available
33,Und wenn ein Lied - Radio Edit,4lUelqeMNvuaxio1hdyyGS,Söhne Mannheims,7xCzwxwDwXTTCtjcWBoNow,Und wenn ein Lied,6wv9QYCQiJg2ptgRKihjvj,54,https://p.scdn.co/mp3-preview/d0c0d735d9e06e53148dfd32e34094b09b463f2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Flugzeuge im Bauch - Remastered 2016,1OkNX7XwRwzfWE7Oqp8Rri,Herbert Grönemeyer,5tG5dl5mS2wB5w72YBpsyg,Bochum (Remastered 2016),72LIvYBtZFIjlcF0ejvRCn,51,not available
35,Weinst Du,2RjnnOuAvosOSAZhZQ50kO,Echt,6zjMMh0ijUZ0dr6w2Pfe9P,Freischwimmer,0gsQ4zndeWzFIQbASQ9L3w,51,not available
36,Sie sieht mich nicht,7p6BWCHdkHNkh4TXpqJ1lC,Xavier Naidoo,47RPLpnGhBRTjQrRBOev9s,Nicht von dieser Welt,5XilkR7C1PSamUTVhXtV8p,10,not available
37,"Irgendwie, irgendwo, irgendwann",1XALya9I46XSyv7R4PZVqx,Nena,6Tz0QRoe083BcOo2YbG9lV,Einmal ist keinmal,1rVFnZFxeaggqYxWpMz96W,12,not available
38,Allein Allein,4HyJ1VGNu3IszMV0sTsqKP,Polarkreis 18,6nh7a948rPsV1552dw0pKd,The Colour Of Snow,1BaZpjZZz3r2xg1ibDU3to,52,not available
39,Mensch - Remastered 2016,5HxfEtCF7YE4f9jxz51OIi,Herbert Grönemeyer,5tG5dl5mS2wB5w72YBpsyg,Mensch (Remastered 2016),1mV4V5e2s7PoP6RR9DR1cg,52,not available
40,Chicago - Remastered 2014,68Wfmktwdhbg6maprbr9iE,Clueso,0iFq8SzyZaaQ2Fn6CLDxqW,Weit weg (Remastered 2014),2wrqcPxFecrPdP991YlAom,51,not available
41,Ich kenne nichts (das so schön ist wie du),6u7AYdi0SFO22wWuEl1NoY,Xavier Naidoo,47RPLpnGhBRTjQrRBOev9s,Danke fürs Zuhören - Liedersammlung 1998 - 2012,48L8Z51yNzAtZhEJWZ8tyU,15,not available
42,Frauen regier'n die Welt,1mPCxdc4hpJ8r2qPnyMYcW,Roger Cicero,2pR1RkvFKvb2KWSjrbCIP2,Glück ist leicht - Das Beste von 2006 - 2016,2LcNBTn0zVLELyyB5mN22D,37,https://p.scdn.co/mp3-preview/0ce8771dfc9fb17b51f6a55572727b655f35667e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Vom selben Stern - Radio Edit,4Tzal54wYMmXX0Es1QwAJW,Ich + Ich,3oCrmkKTKBi7DUgmtyGkId,Vom selben Stern,3N60Xk5cRWtXPC2El0KoLm,40,not available
44,Sexy,2C8ymluZHrPz34w5tfk5QD,Westernhagen,6El2bDJ8PlTKVYyEPWxfAS,Halleluja,1edX8P3Fp2voLKcpyDe3AP,52,https://p.scdn.co/mp3-preview/0adda91b88569bb4207c2e3fc418ee668cc0848a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Wenn jetzt Sommer wär,5la3Ns6Kijy768nRHOvpCL,Pohlmann.,1dV2H8r14HI6oAV7lkN8mL,Zwischen Heimweh Und Fernsucht,6Y8BAhxj2qE4FK5scJXM2D,52,not available
46,Das kann uns keiner nehmen,4xONI8LFfRPm7OSBKsFYqj,Revolverheld,5FYfIAuN8mV5KgVtugwfc0,Immer in Bewegung,2GJf3Mf41uZ05U6ygryyD0,54,https://p.scdn.co/mp3-preview/a48a62b4e82f906d7ffa943415499b9cf0f1083a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Und es war Sommer,4i6mkvKRIO07bHANBNRDWe,Peter Maffay,5W3s4beu23rOlseCbVOp4l,Und es war Sommer,4i7jCNYlETCsfAhpF3sbCh,51,https://p.scdn.co/mp3-preview/2805b5bb2805f0af5f4962c5134a5f8ede01d251?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Lied 1 - Stück vom Himmel,5MDgIJMfN3VsxVBLjpDPIP,Herbert Grönemeyer,5tG5dl5mS2wB5w72YBpsyg,12,5CxqJtkNy59k2tx8wlxYjI,51,not available
