James Bond Theme Songs,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
12,Thunderball,61ae7alkl4KTin3QOMD8pQ,Tom Jones,1T0wRBO0CK0vK8ouUMqEl5,The Best Of Tom Jones 20th Century Masters The Millennium Collection,6TiIQSWfDgwQTg1aycqAsP,4,not available
13,You Only Live Twice (Main Title),68qxZGCBmN5HY4gmK0iURW,Nancy Sinatra,3IZrrNonYELubLPJmqOci2,You Only Live Twice - Soundtrack,70yvWorA4DzKWsS3Nvz89q,4,not available
14,Casino Royale,5WCXReutL1R72aovjrFhjt,Herb Alpert & The Tijuana Brass,09L3cUdx0hq6qn5bKuJJ4I,Sounds Like,6OWQw2GVdSTQVB6gs7Q3e3,3,not available
15,We Have All the Time In the World,0IVHwJqgXfwVMYBZk49uyK,Louis Armstrong,19eLuQmk9aCobbVDHc6eek,Jazz: Lounge,4S8goB7sBN156aSP736YhM,37,not available
16,Diamonds Are Forever,3Tp3nTswQmMzmQRqZu4iM2,Shirley Bassey,090VebphoycdEyH165iMqc,Let Me Sing And I'm Happy,7Ln5CiGZ9hMBVJVRhyoTL5,53,https://p.scdn.co/mp3-preview/68577b9c6ab3a55a524a70cd92fbd10423d4b24f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,The Man With The Golden Gun,2wBWVKsv9VIbvlPdJtQbz7,Lulu,2fP4hXUr0AbFmbO9IZsbcN,The Man With The Golden Gun,73keMsTiKlV4N852puufnJ,0,not available
18,Moonraker,0XCszZIzEncBpgAMkKoDB2,Shirley Bassey,090VebphoycdEyH165iMqc,Bassey - The EMI/UA Years 1959-1979,5aoxGBTOftx2uzyWGRKtxL,46,https://p.scdn.co/mp3-preview/7a3f7f15b9d6628aee69cb757a9716c7dbceeafa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,For Your Eyes Only,6eI11lzR4AyJkIB5UNhQQb,The 007 Orchestra,2rEZMR2viX7RTafZvsVaTM,James Bond Themes,1vFxd75L0wRtWPUYPFugDv,36,https://p.scdn.co/mp3-preview/423c5e54eda6466f0e86ba28a2f0477bc5eafdfd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,All Time High,1cFWJRuAufyHeyfPliPHPD,Rita Coolidge,1vnIL4DMlivP55ioM6KitW,Delta Lady / The Anthology,0MJEefiLXZoSBsBOXP23B8,3,not available
21,Main Title: Never Say Never Again (feat. Lani Hall),7vOKGJvlcUOva2crdnuYZ9,Lani Hall,6vIMSnFRkGcJNE776F2TEJ,Never Say Never Again,4S1Lw9n8R8Vd5bU8UlsaNB,3,not available
22,The Living Daylights,75R2Yxuar6gM590OCbYJHn,a-ha,2jzc5TC5TVFLXQlBNiIUzE,Stay On These Roads,6lka22PtQOmCt5ri8GPSZm,44,https://p.scdn.co/mp3-preview/6644709f728cf5bb54a9be4a16f24e2a98afb64b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,"Licence To Kill (From ""Licence To Kill"")",7q8UfNXNmNRYzqYmdm9Tyc,007 Collective,1ppIZmEJfPTBbymhqkhLCN,007 - James Bond Classics - Skyfall 50 years Edition,3YxAaNRttD07Z7V6Hs5hYl,23,https://p.scdn.co/mp3-preview/06f596da0c305d19ebdce93896d815322ac0583d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Goldeneye,528QhCT2v3HgD71RmrSUNW,Tina Turner,1zuJe6b1roixEKMOtyrEak,Goldeneye,4aBVXvgB75LzBQTbKiauQN,49,not available
25,Tomorrow Never Dies,3peBSjcjaouspgb68WK2sk,Sheryl Crow,4TKTii6gnOnUXQHyuo9JaD,Tomorrow Never Dies,2UGZoHiNl2bDZyHIbaQ9Vo,39,not available
26,The World Is Not Enough,0wnIPcs7V0XMwtcg0yjKpg,Garbage,6S0GHTqz5sxK5f9HtLXn9q,Absolute Garbage,6nZQaZ0is5KhtuJeay9wxP,42,not available
